수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:52:11,아파트,46976259,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,50000,0,50000,84.94,25.69,저,,https://www.zigbang.com/home/apt/items/46976259
2026-06-04 06:52:11,아파트,46976232,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,48000,0,48000,84.94,25.69,중,,https://www.zigbang.com/home/apt/items/46976232
2026-06-04 06:52:11,아파트,46976130,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,59500,0,59500,84.96,25.7,고,,https://www.zigbang.com/home/apt/items/46976130
2026-06-04 06:52:11,아파트,46975971,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,49000,0,49000,84.94,25.69,고,,https://www.zigbang.com/home/apt/items/46975971
2026-06-04 06:52:11,아파트,46975949,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,48000,0,48000,84.94,25.69,중,,https://www.zigbang.com/home/apt/items/46975949
2026-06-04 06:52:11,아파트,48060445,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,52000,0,52000,84.97,25.7,저,,https://www.zigbang.com/home/apt/items/48060445
2026-06-04 06:52:11,아파트,46974530,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,44000,0,44000,75.95,22.97,중,,https://www.zigbang.com/home/apt/items/46974530
2026-06-04 06:52:11,아파트,199208,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,56870,0,56870,84.89,25.68,4,,https://www.zigbang.com/home/apt/items/199208
2026-06-04 06:52:11,아파트,48419664,매매,이지더원1차오션포레,,기장군,부산광역시 기장군 기장읍,35500,0,35500,59.62,18.04,고,,https://www.zigbang.com/home/apt/items/48419664
2026-06-04 06:52:11,아파트,46858067,매매,이지더원1차오션포레,,기장군,부산광역시 기장군 기장읍,35000,0,35000,59.62,18.04,고,,https://www.zigbang.com/home/apt/items/46858067
2026-06-04 06:52:11,아파트,46816473,매매,이지더원1차오션포레,,기장군,부산광역시 기장군 기장읍,32000,0,32000,59.62,18.03,고,,https://www.zigbang.com/home/apt/items/46816473
2026-06-04 06:52:11,아파트,46758834,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,48000,0,48000,74.98,22.68,고,,https://www.zigbang.com/home/apt/items/46758834
2026-06-04 06:52:11,아파트,46758773,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,45500,0,45500,75.55,22.86,저,,https://www.zigbang.com/home/apt/items/46758773
2026-06-04 06:52:11,아파트,46758673,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,60000,0,60000,74.97,22.68,고,,https://www.zigbang.com/home/apt/items/46758673
2026-06-04 06:52:11,아파트,46712322,매매,이지더원1차오션포레,,기장군,부산광역시 기장군 기장읍,33000,0,33000,59.62,18.03,중,,https://www.zigbang.com/home/apt/items/46712322
